borrower_id,age,annual_income_eur,loan_amount_eur,loan_type,lti_ratio,ltv_ratio,tenure_years,rate_type,employment_sector,credit_score,probability_of_default,risk_grade,monthly_repayment_eur,dti_monthly_ratio,ecb_shock_monthly_eur,affordability_stress
4087,34,79548,374450,Mortgage,4.71,0.726,3,Variable,Public Sector,840,0.1513,D – Substandard,3159,0.477,561,Stressed
4088,64,94843,247470,Car Finance,2.61,0.806,11,Fixed,Public Sector,562,0.0598,C – Standard,2088,0.264,0,Comfortable
4089,67,26660,110114,Car Finance,4.13,0.457,26,Tracker,Employed,845,0.1166,D – Substandard,929,0.418,412,Stressed
4090,67,88671,506652,Mortgage,5.71,0.831,9,Fixed,Public Sector,822,0.171,D – Substandard,4275,0.579,0,Stressed
4091,55,29971,189769,Mortgage,6.33,0.776,15,Variable,Public Sector,391,0.1599,D – Substandard,1601,0.641,284,Stressed
4092,23,30354,98542,Mortgage,3.25,0.587,3,Fixed,Retired,672,0.0782,C – Standard,831,0.329,0,Stretched
4093,38,44426,113932,Personal Loan,2.56,0.794,18,Tracker,Other,541,0.0798,C – Standard,961,0.26,427,Comfortable
4094,42,42888,407697,Mortgage,9.51,0.515,12,Tracker,Public Sector,764,0.1673,D – Substandard,3440,0.963,1528,Stressed
4095,66,25475,490775,Personal Loan,19.26,0.862,30,Fixed,Employed,777,0.1869,D – Substandard,4141,1.951,0,Stressed
4096,47,64405,313394,Personal Loan,4.87,0.883,14,Variable,Employed,405,0.2023,E – Doubtful,2644,0.493,470,Stressed
4097,46,65208,371617,Car Finance,5.7,0.693,29,Variable,Public Sector,632,0.1572,D – Substandard,3135,0.577,557,Stressed
4098,28,76320,351209,Mortgage,4.6,0.704,31,Fixed,Retired,809,0.1219,D – Substandard,2963,0.466,0,Stressed
4099,58,40861,244337,Mortgage,5.98,0.651,29,Variable,Employed,667,0.1622,D – Substandard,2061,0.605,366,Stressed
4100,37,48212,215555,Mortgage,4.47,0.623,26,Tracker,Self-Employed,769,0.1689,D – Substandard,1818,0.453,808,Stressed
4101,26,48398,242056,Mortgage,5.0,0.886,20,Fixed,Employed,697,0.1695,D – Substandard,2042,0.506,0,Stressed
4102,67,99604,269630,Mortgage,2.71,0.602,17,Tracker,Employed,731,0.0497,B – Near Prime,2275,0.274,1011,Comfortable
4103,30,18000,119625,Car Finance,6.65,0.651,3,Fixed,Employed,766,0.1372,D – Substandard,1009,0.673,0,Stressed
4104,22,32796,269029,Mortgage,8.2,0.6,5,Tracker,Employed,817,0.1579,D – Substandard,2270,0.831,1008,Stressed
4105,25,49135,401209,Mortgage,8.17,0.778,13,Tracker,Self-Employed,408,0.2337,E – Doubtful,3385,0.827,1504,Stressed
4106,42,31071,160571,Personal Loan,5.17,0.857,23,Fixed,Employed,733,0.1633,D – Substandard,1354,0.523,0,Stressed
4107,26,43980,151405,Personal Loan,3.44,0.532,1,Fixed,Self-Employed,511,0.1376,D – Substandard,1277,0.348,0,Stretched
4108,60,46492,233771,Mortgage,5.03,0.577,32,Variable,Self-Employed,617,0.2541,E – Doubtful,1972,0.509,350,Stressed
4109,45,37189,125830,Mortgage,3.38,0.502,34,Tracker,Public Sector,661,0.08,C – Standard,1061,0.342,471,Stretched
4110,36,50366,87181,Mortgage,1.73,0.53,3,Fixed,Employed,656,0.0389,B – Near Prime,735,0.175,0,Comfortable
4111,22,63820,338150,Mortgage,5.3,0.653,4,Fixed,Employed,408,0.1753,D – Substandard,2853,0.536,0,Stressed
4112,44,44389,140361,Mortgage,3.16,0.838,29,Variable,Self-Employed,751,0.0632,C – Standard,1184,0.32,210,Stretched
4113,28,40524,181706,Mortgage,4.48,0.721,7,Fixed,Self-Employed,693,0.1448,D – Substandard,1533,0.454,0,Stressed
4114,66,45724,128596,Personal Loan,2.81,0.477,7,Variable,Employed,712,0.1027,D – Substandard,1085,0.285,192,Stretched
4115,35,48867,363020,Car Finance,7.43,0.763,7,Variable,Employed,639,0.1974,D – Substandard,3063,0.752,544,Stressed
4116,43,23601,287577,Mortgage,12.18,0.848,24,Tracker,Other,625,0.2016,E – Doubtful,2426,1.234,1078,Stressed
4117,22,59507,157564,Mortgage,2.65,0.647,5,Fixed,Employed,452,0.0698,C – Standard,1329,0.268,0,Comfortable
4118,28,40561,94000,Car Finance,2.32,0.573,7,Tracker,Employed,628,0.0761,C – Standard,793,0.235,352,Comfortable
4119,31,83270,148626,Personal Loan,1.78,0.832,14,Variable,Retired,454,0.1081,D – Substandard,1254,0.181,222,Comfortable
4120,24,62833,246122,Personal Loan,3.92,0.462,21,Tracker,Public Sector,784,0.1309,D – Substandard,2076,0.396,922,Stretched
4121,55,80131,199535,Car Finance,2.49,0.858,34,Fixed,Employed,327,0.0733,C – Standard,1683,0.252,0,Comfortable
4122,65,32060,190995,Personal Loan,5.96,0.852,9,Variable,Public Sector,305,0.2515,E – Doubtful,1611,0.603,286,Stressed
4123,67,41940,202083,Personal Loan,4.82,0.894,9,Tracker,Employed,700,0.179,D – Substandard,1705,0.488,757,Stressed
4124,34,29090,273030,Mortgage,9.39,0.495,19,Variable,Public Sector,694,0.195,D – Substandard,2303,0.95,409,Stressed
4125,58,36454,175778,Car Finance,4.82,0.504,15,Fixed,Self-Employed,607,0.171,D – Substandard,1483,0.488,0,Stressed
4126,45,82940,230385,Personal Loan,2.78,0.886,21,Fixed,Employed,611,0.0751,C – Standard,1944,0.281,0,Stretched
4127,24,91559,104526,Mortgage,1.14,0.688,9,Fixed,Retired,319,0.0629,C – Standard,882,0.116,0,Comfortable
4128,26,30266,600000,Personal Loan,19.82,0.646,22,Fixed,Public Sector,761,0.1696,D – Substandard,5063,2.007,0,Stressed
4129,47,40437,153872,Mortgage,3.81,0.737,32,Variable,Employed,765,0.1241,D – Substandard,1298,0.385,230,Stretched
4130,41,47476,201184,Personal Loan,4.24,0.479,24,Tracker,Self-Employed,412,0.18,D – Substandard,1697,0.429,754,Stressed
4131,22,62689,245623,Mortgage,3.92,0.772,25,Variable,Public Sector,308,0.1643,D – Substandard,2072,0.397,368,Stretched
4132,64,23409,143496,Personal Loan,6.13,0.923,3,Fixed,Employed,588,0.1694,D – Substandard,1210,0.62,0,Stressed
4133,55,25002,180647,Mortgage,7.23,0.788,31,Fixed,Employed,439,0.1468,D – Substandard,1524,0.731,0,Stressed
4134,45,60212,179444,Personal Loan,2.98,0.682,24,Fixed,Employed,370,0.0988,C – Standard,1514,0.302,0,Stretched
4135,67,21620,108801,Personal Loan,5.03,0.93,22,Fixed,Other,361,0.2824,E – Doubtful,918,0.51,0,Stressed
4136,66,40633,228942,Mortgage,5.63,0.794,6,Tracker,Employed,662,0.1505,D – Substandard,1931,0.57,858,Stressed
4137,66,52474,72615,Mortgage,1.38,0.478,19,Fixed,Employed,497,0.0481,B – Near Prime,612,0.14,0,Comfortable
4138,33,58371,471648,Mortgage,8.08,0.785,24,Fixed,Self-Employed,720,0.1912,D – Substandard,3980,0.818,0,Stressed
4139,62,46188,278210,Personal Loan,6.02,0.48,22,Variable,Employed,472,0.2723,E – Doubtful,2347,0.61,417,Stressed
4140,45,42040,255637,Car Finance,6.08,0.604,5,Fixed,Employed,642,0.177,D – Substandard,2157,0.616,0,Stressed
4141,55,69892,69206,Mortgage,0.99,0.758,2,Fixed,Employed,449,0.0548,C – Standard,583,0.1,0,Comfortable
4142,61,55258,116321,Personal Loan,2.11,0.558,17,Fixed,Employed,605,0.0619,C – Standard,981,0.213,0,Comfortable
4143,29,37356,386211,Car Finance,10.34,0.469,25,Fixed,Retired,684,0.1453,D – Substandard,3259,1.047,0,Stressed
4144,42,49803,600000,Personal Loan,12.05,0.759,14,Variable,Employed,488,0.1733,D – Substandard,5063,1.22,900,Stressed
4145,27,57580,347000,Mortgage,6.03,0.593,24,Fixed,Employed,788,0.1365,D – Substandard,2928,0.61,0,Stressed
4146,34,100877,318162,Mortgage,3.15,0.716,33,Variable,Employed,651,0.0729,C – Standard,2684,0.319,477,Stretched
4147,41,68203,240082,Car Finance,3.52,0.581,31,Fixed,Retired,410,0.0882,C – Standard,2025,0.356,0,Stretched
4148,61,81643,112856,Mortgage,1.38,0.793,22,Fixed,Employed,794,0.0327,B – Near Prime,952,0.14,0,Comfortable
4149,61,37931,310937,Mortgage,8.2,0.898,25,Variable,Employed,574,0.1819,D – Substandard,2623,0.83,466,Stressed
4150,39,39333,98158,Personal Loan,2.5,0.493,3,Fixed,Self-Employed,696,0.0673,C – Standard,828,0.253,0,Comfortable
4151,37,44406,92427,Mortgage,2.08,0.843,3,Fixed,Employed,490,0.0604,C – Standard,779,0.211,0,Comfortable
4152,46,46152,89282,Personal Loan,1.93,0.528,24,Fixed,Self-Employed,312,0.0911,C – Standard,753,0.196,0,Comfortable
4153,63,32100,307628,Credit Card,9.58,0.615,28,Fixed,Employed,609,0.2685,E – Doubtful,2595,0.97,0,Stressed
4154,66,83424,174280,Credit Card,2.09,0.629,7,Fixed,Public Sector,579,0.1121,D – Substandard,1470,0.211,0,Comfortable
4155,32,71040,190131,Personal Loan,2.68,0.553,21,Tracker,Self-Employed,698,0.0864,C – Standard,1604,0.271,712,Comfortable
4156,30,43114,178354,Car Finance,4.14,0.488,10,Fixed,Public Sector,705,0.1271,D – Substandard,1505,0.419,0,Stressed
4157,54,64184,96843,Car Finance,1.51,0.834,4,Fixed,Other,678,0.0521,C – Standard,817,0.153,0,Comfortable
4158,35,53831,124380,Credit Card,2.31,0.847,13,Fixed,Public Sector,577,0.1201,D – Substandard,1049,0.234,0,Comfortable
4159,31,66325,127869,Car Finance,1.93,0.948,16,Fixed,Employed,303,0.0944,C – Standard,1079,0.195,0,Comfortable
4160,23,27872,83041,Car Finance,2.98,0.917,27,Variable,Self-Employed,625,0.0988,C – Standard,700,0.301,124,Stretched
4161,40,46111,136309,Mortgage,2.96,0.667,30,Variable,Self-Employed,822,0.0549,C – Standard,1150,0.299,204,Stretched
4162,40,47840,99238,Mortgage,2.07,0.517,33,Tracker,Employed,801,0.0372,B – Near Prime,837,0.21,372,Comfortable
4163,47,63699,247142,Mortgage,3.88,0.455,4,Fixed,Employed,344,0.1285,D – Substandard,2085,0.393,0,Stretched
4164,31,37648,258728,Personal Loan,6.87,0.716,32,Fixed,Employed,780,0.164,D – Substandard,2183,0.696,0,Stressed
4165,54,18000,88300,Car Finance,4.91,0.88,18,Variable,Retired,379,0.1816,D – Substandard,745,0.497,132,Stressed
4166,53,31122,152795,Credit Card,4.91,0.584,6,Fixed,Public Sector,344,0.2082,E – Doubtful,1289,0.497,0,Stressed
4167,43,47779,499235,Car Finance,10.45,0.549,23,Fixed,Self-Employed,314,0.1565,D – Substandard,4212,1.058,0,Stressed
4168,30,50353,104880,Car Finance,2.08,0.669,3,Fixed,Public Sector,580,0.0576,C – Standard,885,0.211,0,Comfortable
4169,45,99426,227442,Mortgage,2.29,0.897,16,Fixed,Self-Employed,397,0.1014,D – Substandard,1919,0.232,0,Comfortable
4170,53,62614,190619,Mortgage,3.04,0.676,29,Tracker,Public Sector,642,0.0837,C – Standard,1608,0.308,714,Stretched
4171,39,50728,328104,Personal Loan,6.47,0.811,34,Tracker,Employed,556,0.1988,D – Substandard,2768,0.655,1230,Stressed
4172,34,48358,211611,Mortgage,4.38,0.681,10,Variable,Employed,768,0.0963,C – Standard,1785,0.443,317,Stressed
4173,45,77944,141887,Personal Loan,1.82,0.636,6,Fixed,Self-Employed,415,0.0822,C – Standard,1197,0.184,0,Comfortable
4174,38,38259,186599,Personal Loan,4.88,0.67,20,Variable,Public Sector,446,0.1551,D – Substandard,1574,0.494,279,Stressed
4175,40,46215,188104,Mortgage,4.07,0.834,6,Variable,Public Sector,584,0.168,D – Substandard,1587,0.412,282,Stressed
4176,38,31023,171025,Personal Loan,5.51,0.827,34,Variable,Other,376,0.2298,E – Doubtful,1443,0.558,256,Stressed
4177,35,88959,87071,Personal Loan,0.98,0.666,12,Fixed,Public Sector,552,0.077,C – Standard,734,0.099,0,Comfortable
4178,54,57806,356360,Personal Loan,6.16,0.584,7,Tracker,Employed,628,0.2282,E – Doubtful,3007,0.624,1336,Stressed
4179,43,36418,323365,Car Finance,8.88,0.52,9,Fixed,Employed,639,0.1696,D – Substandard,2728,0.899,0,Stressed
4180,43,46720,101285,Mortgage,2.17,0.451,13,Variable,Employed,557,0.0455,B – Near Prime,854,0.219,151,Comfortable
4181,52,60721,152451,Car Finance,2.51,0.507,26,Tracker,Self-Employed,355,0.1168,D – Substandard,1286,0.254,571,Comfortable
4182,38,44121,158927,Mortgage,3.6,0.532,30,Tracker,Employed,441,0.0965,C – Standard,1341,0.365,595,Stretched
4183,26,39164,95217,Mortgage,2.43,0.795,26,Tracker,Employed,339,0.1057,D – Substandard,803,0.246,357,Comfortable
4184,61,37242,64425,Mortgage,1.73,0.859,23,Fixed,Employed,818,0.0298,B – Near Prime,543,0.175,0,Comfortable
4185,24,56520,124389,Car Finance,2.2,0.818,10,Variable,Public Sector,619,0.0755,C – Standard,1049,0.223,186,Comfortable
4186,48,42176,147853,Car Finance,3.51,0.812,32,Fixed,Employed,474,0.0984,C – Standard,1247,0.355,0,Stretched
4187,34,40514,81415,Mortgage,2.01,0.947,34,Variable,Self-Employed,466,0.1155,D – Substandard,687,0.203,122,Comfortable
4188,31,27969,198260,Personal Loan,7.09,0.931,22,Fixed,Employed,330,0.1529,D – Substandard,1673,0.718,0,Stressed
4189,23,50645,340977,Car Finance,6.73,0.584,27,Fixed,Self-Employed,560,0.2916,E – Doubtful,2877,0.682,0,Stressed
4190,63,45428,285833,Credit Card,6.29,0.523,11,Tracker,Self-Employed,332,0.246,E – Doubtful,2412,0.637,1071,Stressed
4191,41,42826,167765,Mortgage,3.92,0.527,16,Tracker,Employed,686,0.1039,D – Substandard,1415,0.396,629,Stretched
4192,37,53288,65367,Mortgage,1.23,0.898,28,Fixed,Public Sector,410,0.068,C – Standard,551,0.124,0,Comfortable
4193,56,67114,266635,Mortgage,3.97,0.501,15,Fixed,Self-Employed,355,0.1402,D – Substandard,2250,0.402,0,Stressed
4194,23,65818,194953,Car Finance,2.96,0.62,26,Fixed,Employed,364,0.1161,D – Substandard,1645,0.3,0,Stretched
4195,47,61830,227156,Mortgage,3.67,0.715,30,Fixed,Retired,315,0.117,D – Substandard,1916,0.372,0,Stretched
4196,44,44307,521704,Mortgage,11.77,0.757,32,Fixed,Public Sector,517,0.2222,E – Doubtful,4402,1.192,0,Stressed
4197,47,38632,114273,Credit Card,2.96,0.748,10,Tracker,Employed,332,0.1674,D – Substandard,964,0.299,428,Stretched
4198,27,31620,37006,Mortgage,1.17,0.843,17,Fixed,Employed,344,0.0786,C – Standard,312,0.118,0,Comfortable
4199,65,38210,100770,Personal Loan,2.64,0.736,14,Fixed,Employed,420,0.0845,C – Standard,850,0.267,0,Comfortable
4200,32,49427,234996,Credit Card,4.75,0.876,18,Variable,Employed,608,0.1844,D – Substandard,1983,0.481,352,Stressed
4201,53,35233,182555,Mortgage,5.18,0.492,26,Fixed,Employed,421,0.1923,D – Substandard,1540,0.525,0,Stressed
4202,56,51038,92170,Mortgage,1.81,0.879,12,Fixed,Self-Employed,524,0.0923,C – Standard,777,0.183,0,Comfortable
4203,37,32679,82384,Mortgage,2.52,0.745,8,Fixed,Retired,536,0.0493,B – Near Prime,695,0.255,0,Comfortable
4204,28,24401,147999,Personal Loan,6.07,0.561,10,Fixed,Employed,628,0.1219,D – Substandard,1248,0.614,0,Stressed
4205,35,69158,90639,Mortgage,1.31,0.939,27,Fixed,Public Sector,325,0.053,C – Standard,764,0.133,0,Comfortable
4206,59,40164,239509,Mortgage,5.96,0.92,34,Variable,Self-Employed,844,0.1801,D – Substandard,2021,0.604,359,Stressed
4207,63,34490,143446,Mortgage,4.16,0.873,4,Fixed,Self-Employed,350,0.1554,D – Substandard,1210,0.421,0,Stressed
4208,65,30964,127399,Personal Loan,4.11,0.906,34,Tracker,Public Sector,845,0.1486,D – Substandard,1075,0.417,477,Stressed
4209,32,58552,118533,Car Finance,2.02,0.641,2,Tracker,Employed,456,0.098,C – Standard,1000,0.205,444,Comfortable
4210,49,87331,207880,Personal Loan,2.38,0.564,19,Tracker,Self-Employed,529,0.1283,D – Substandard,1754,0.241,779,Comfortable
4211,28,41386,184136,Personal Loan,4.45,0.541,5,Tracker,Employed,336,0.2035,E – Doubtful,1553,0.45,690,Stressed
4212,54,44777,201003,Credit Card,4.49,0.887,33,Tracker,Employed,501,0.1655,D – Substandard,1696,0.455,753,Stressed
4213,41,76886,198604,Personal Loan,2.58,0.863,26,Tracker,Employed,794,0.066,C – Standard,1675,0.261,744,Comfortable
4214,54,22916,172869,Personal Loan,7.54,0.94,13,Fixed,Employed,674,0.1942,D – Substandard,1458,0.763,0,Stressed
4215,53,111981,101903,Mortgage,0.91,0.874,24,Fixed,Employed,642,0.0454,B – Near Prime,859,0.092,0,Comfortable
4216,67,136833,120365,Mortgage,0.88,0.766,29,Variable,Employed,502,0.0551,C – Standard,1015,0.089,180,Comfortable
4217,44,18000,144773,Mortgage,8.04,0.521,8,Tracker,Employed,809,0.1754,D – Substandard,1221,0.814,542,Stressed
4218,37,47053,560092,Mortgage,11.9,0.532,22,Tracker,Employed,728,0.1273,D – Substandard,4726,1.205,2100,Stressed
4219,46,36244,85659,Credit Card,2.36,0.687,11,Variable,Employed,438,0.0773,C – Standard,722,0.239,128,Comfortable
4220,29,43861,142851,Mortgage,3.26,0.834,25,Tracker,Employed,630,0.0928,C – Standard,1205,0.33,535,Stretched
4221,27,41121,189860,Mortgage,4.62,0.537,20,Variable,Self-Employed,518,0.213,E – Doubtful,1602,0.467,284,Stressed
4222,45,68936,152232,Car Finance,2.21,0.908,25,Variable,Self-Employed,409,0.1361,D – Substandard,1284,0.224,228,Comfortable
4223,59,46757,324708,Credit Card,6.94,0.792,22,Fixed,Retired,660,0.1634,D – Substandard,2740,0.703,0,Stressed
4224,46,33437,151801,Personal Loan,4.54,0.606,22,Fixed,Retired,528,0.1201,D – Substandard,1280,0.459,0,Stressed
4225,57,45600,158103,Mortgage,3.47,0.893,3,Fixed,Public Sector,353,0.12,D – Substandard,1334,0.351,0,Stretched
4226,30,60852,281544,Personal Loan,4.63,0.749,29,Fixed,Self-Employed,775,0.1422,D – Substandard,2375,0.468,0,Stressed
4227,42,29817,486937,Mortgage,16.33,0.817,6,Fixed,Employed,633,0.195,D – Substandard,4109,1.654,0,Stressed
4228,50,24552,390086,Personal Loan,15.89,0.643,14,Fixed,Employed,604,0.2045,E – Doubtful,3291,1.609,0,Stressed
4229,37,113204,166848,Personal Loan,1.47,0.647,18,Tracker,Retired,849,0.0726,C – Standard,1407,0.149,625,Comfortable
4230,22,37428,175039,Car Finance,4.68,0.456,29,Fixed,Retired,690,0.1273,D – Substandard,1477,0.474,0,Stressed
4231,25,46272,184553,Mortgage,3.99,0.719,22,Variable,Employed,838,0.1106,D – Substandard,1557,0.404,276,Stressed
4232,64,41478,195018,Credit Card,4.7,0.83,7,Fixed,Employed,690,0.2492,E – Doubtful,1645,0.476,0,Stressed
4233,49,61709,112866,Mortgage,1.83,0.934,10,Tracker,Employed,393,0.0901,C – Standard,952,0.185,423,Comfortable
4234,34,103215,301078,Mortgage,2.92,0.896,7,Fixed,Employed,565,0.0672,C – Standard,2540,0.295,0,Stretched
4235,33,62540,201518,Car Finance,3.22,0.493,21,Variable,Employed,580,0.0864,C – Standard,1700,0.326,302,Stretched
4236,23,25907,175488,Mortgage,6.77,0.94,25,Variable,Employed,462,0.1655,D – Substandard,1480,0.686,263,Stressed
4237,65,27410,89399,Mortgage,3.26,0.525,25,Fixed,Employed,470,0.0725,C – Standard,754,0.33,0,Stretched
4238,26,41457,186140,Mortgage,4.49,0.471,26,Variable,Public Sector,627,0.1234,D – Substandard,1570,0.454,279,Stressed
4239,56,43797,63496,Mortgage,1.45,0.824,24,Variable,Public Sector,526,0.0475,B – Near Prime,535,0.147,95,Comfortable
4240,33,23784,130625,Mortgage,5.49,0.903,31,Tracker,Public Sector,362,0.165,D – Substandard,1102,0.556,489,Stressed
4241,37,69156,131965,Personal Loan,1.91,0.925,31,Fixed,Employed,619,0.0524,C – Standard,1113,0.193,0,Comfortable
4242,34,31062,210627,Mortgage,6.78,0.862,10,Tracker,Employed,628,0.1626,D – Substandard,1777,0.686,789,Stressed
4243,59,91783,505810,Credit Card,5.51,0.552,11,Fixed,Self-Employed,749,0.2377,E – Doubtful,4268,0.558,0,Stressed
4244,23,105310,246359,Personal Loan,2.34,0.527,2,Fixed,Self-Employed,356,0.1112,D – Substandard,2078,0.237,0,Comfortable
4245,38,44167,398961,Car Finance,9.03,0.479,10,Fixed,Other,551,0.1769,D – Substandard,3366,0.915,0,Stressed
4246,34,58945,256495,Car Finance,4.35,0.741,18,Fixed,Employed,795,0.12,D – Substandard,2164,0.441,0,Stressed
4247,34,29219,333960,Personal Loan,11.43,0.694,23,Fixed,Employed,445,0.2527,E – Doubtful,2818,1.157,0,Stressed
4248,30,63700,499528,Mortgage,7.84,0.505,30,Tracker,Employed,709,0.2351,E – Doubtful,4215,0.794,1873,Stressed
4249,63,39765,120269,Car Finance,3.02,0.682,21,Variable,Employed,489,0.102,D – Substandard,1014,0.306,180,Stretched
4250,39,31050,116028,Mortgage,3.74,0.734,34,Tracker,Employed,399,0.1175,D – Substandard,979,0.378,435,Stretched
4251,41,43411,259846,Mortgage,5.99,0.811,19,Fixed,Employed,691,0.1443,D – Substandard,2192,0.606,0,Stressed
4252,39,40311,179508,Personal Loan,4.45,0.657,30,Variable,Employed,731,0.1561,D – Substandard,1514,0.451,269,Stressed
4253,67,42763,203047,Mortgage,4.75,0.609,28,Fixed,Employed,803,0.1146,D – Substandard,1713,0.481,0,Stressed
4254,37,73047,156879,Personal Loan,2.15,0.783,17,Fixed,Self-Employed,699,0.0739,C – Standard,1323,0.217,0,Comfortable
4255,37,35248,129580,Credit Card,3.68,0.792,30,Fixed,Employed,468,0.1489,D – Substandard,1093,0.372,0,Stretched
4256,37,101590,438633,Personal Loan,4.32,0.585,30,Variable,Public Sector,700,0.1217,D – Substandard,3701,0.437,657,Stressed
4257,37,28098,98230,Mortgage,3.5,0.46,11,Variable,Self-Employed,317,0.0919,C – Standard,828,0.354,147,Stretched
4258,26,96614,262371,Mortgage,2.72,0.923,8,Fixed,Employed,484,0.0756,C – Standard,2214,0.275,0,Comfortable
4259,49,31986,239983,Mortgage,7.5,0.828,5,Fixed,Employed,417,0.2212,E – Doubtful,2025,0.76,0,Stressed
4260,23,48999,75473,Mortgage,1.54,0.551,32,Fixed,Employed,587,0.0647,C – Standard,636,0.156,0,Comfortable
4261,32,39899,113899,Personal Loan,2.85,0.733,16,Fixed,Employed,679,0.0814,C – Standard,961,0.289,0,Stretched
4262,31,42430,124931,Personal Loan,2.94,0.747,20,Variable,Self-Employed,622,0.1017,D – Substandard,1054,0.298,187,Stretched
4263,35,68635,245369,Personal Loan,3.57,0.513,10,Fixed,Retired,399,0.1091,D – Substandard,2070,0.362,0,Stretched
4264,56,92035,146991,Personal Loan,1.6,0.546,14,Tracker,Employed,507,0.1161,D – Substandard,1240,0.162,551,Comfortable
4265,49,80823,171600,Mortgage,2.12,0.928,14,Tracker,Employed,349,0.0777,C – Standard,1448,0.215,643,Comfortable
4266,67,41355,80683,Mortgage,1.95,0.704,20,Fixed,Public Sector,608,0.0438,B – Near Prime,680,0.197,0,Comfortable
4267,38,52965,600000,Personal Loan,11.33,0.546,6,Tracker,Employed,708,0.2503,E – Doubtful,5063,1.147,2250,Stressed
4268,64,35296,187054,Mortgage,5.3,0.849,27,Variable,Employed,434,0.1941,D – Substandard,1578,0.536,280,Stressed
4269,24,32323,236676,Mortgage,7.32,0.685,14,Fixed,Employed,590,0.1647,D – Substandard,1997,0.741,0,Stressed
4270,45,30289,133606,Personal Loan,4.41,0.769,9,Tracker,Employed,781,0.1738,D – Substandard,1127,0.446,501,Stressed
4271,58,40791,125624,Mortgage,3.08,0.599,1,Fixed,Employed,362,0.0801,C – Standard,1060,0.312,0,Stretched
4272,46,54438,515028,Mortgage,9.46,0.479,4,Variable,Other,828,0.1666,D – Substandard,4346,0.958,772,Stressed
4273,64,21961,62680,Mortgage,2.85,0.532,10,Variable,Self-Employed,482,0.1237,D – Substandard,528,0.289,94,Stretched
4274,36,48075,209662,Mortgage,4.36,0.937,25,Tracker,Employed,479,0.1063,D – Substandard,1769,0.442,786,Stressed
4275,23,92663,92380,Personal Loan,1.0,0.762,30,Variable,Retired,692,0.0887,C – Standard,779,0.101,138,Comfortable
4276,57,78527,143954,Mortgage,1.83,0.866,33,Tracker,Employed,488,0.0667,C – Standard,1214,0.186,539,Comfortable
4277,25,38338,126632,Car Finance,3.3,0.461,11,Fixed,Employed,523,0.0995,C – Standard,1068,0.334,0,Stretched
4278,57,27263,104580,Mortgage,3.84,0.833,22,Tracker,Other,418,0.1461,D – Substandard,882,0.388,392,Stretched
4279,55,59464,183412,Mortgage,3.08,0.692,10,Variable,Self-Employed,374,0.0983,C – Standard,1547,0.312,275,Stretched
4280,60,18521,43808,Mortgage,2.37,0.783,5,Variable,Public Sector,775,0.0381,B – Near Prime,369,0.239,65,Comfortable
4281,44,78140,151218,Credit Card,1.94,0.629,19,Tracker,Employed,353,0.1376,D – Substandard,1276,0.196,567,Comfortable
4282,63,44814,171157,Personal Loan,3.82,0.76,22,Fixed,Employed,389,0.1468,D – Substandard,1444,0.387,0,Stretched
4283,29,105783,85169,Personal Loan,0.81,0.468,26,Fixed,Retired,753,0.0666,C – Standard,718,0.081,0,Comfortable
4284,41,23734,413441,Car Finance,17.42,0.473,4,Tracker,Employed,739,0.1746,D – Substandard,3488,1.764,1550,Stressed
4285,27,72086,129708,Mortgage,1.8,0.849,26,Tracker,Public Sector,418,0.093,C – Standard,1094,0.182,486,Comfortable
4286,57,46994,157847,Personal Loan,3.36,0.512,11,Variable,Public Sector,757,0.0982,C – Standard,1332,0.34,236,Stretched
4287,54,42657,129868,Personal Loan,3.04,0.457,10,Fixed,Employed,698,0.0666,C – Standard,1095,0.308,0,Stretched
4288,59,27575,171980,Car Finance,6.24,0.906,2,Fixed,Public Sector,473,0.2327,E – Doubtful,1451,0.631,0,Stressed
4289,57,62957,369342,Mortgage,5.87,0.583,7,Fixed,Retired,343,0.1753,D – Substandard,3116,0.594,0,Stressed
4290,36,65119,600000,Credit Card,9.21,0.741,17,Fixed,Public Sector,727,0.187,D – Substandard,5063,0.933,0,Stressed
4291,25,103751,271061,Personal Loan,2.61,0.869,7,Tracker,Employed,674,0.1125,D – Substandard,2287,0.265,1016,Comfortable
4292,64,74860,327222,Car Finance,4.37,0.823,11,Variable,Self-Employed,549,0.1697,D – Substandard,2761,0.443,490,Stressed
4293,44,38198,462330,Mortgage,12.1,0.473,19,Fixed,Employed,450,0.2033,E – Doubtful,3901,1.226,0,Stressed
4294,26,32156,206257,Mortgage,6.41,0.73,4,Fixed,Employed,491,0.2062,E – Doubtful,1740,0.649,0,Stressed
4295,64,27590,426615,Mortgage,15.46,0.721,30,Tracker,Retired,450,0.1995,D – Substandard,3600,1.566,1599,Stressed
4296,67,91012,278123,Car Finance,3.06,0.625,11,Variable,Other,791,0.1016,D – Substandard,2346,0.309,417,Stretched
4297,42,35353,194695,Mortgage,5.51,0.827,26,Fixed,Employed,412,0.1845,D – Substandard,1642,0.557,0,Stressed
4298,57,91280,218095,Personal Loan,2.39,0.932,23,Fixed,Self-Employed,549,0.0842,C – Standard,1840,0.242,0,Comfortable
4299,23,61116,66053,Mortgage,1.08,0.524,26,Fixed,Retired,652,0.0536,C – Standard,557,0.109,0,Comfortable
4300,26,56306,211222,Mortgage,3.75,0.523,10,Fixed,Self-Employed,330,0.1066,D – Substandard,1782,0.38,0,Stretched
